02/03, 0,   120,    0
03/03, 1,   165,    1
04/03, 2,   228,    2
05/03, 3,   282,    3
06/03, 4,   401,    8
07/03, 5,   525,   10
08/03, 6,   675,   17
09/03, 7,  1231,   30
10/03, 8,  1695,   36
11/03, 9,  2277,   55
12/03,10,  3146,   86
13/03,11,  5232,  133
14/03,12,  6391,  169
15/03,13,  7988,  294
16/03,14,  9942,  342
17/03,15, 11826,  533
18/03,16, 14769,  638
19/03,17, 18077,  831
20/03,18, 21571, 1093
21/03,19, 25496, 1381
22/03,20, 28768, 1772
23/03,21, 35136, 2311
24/03,22, 42058, 2991
25/03,23, 49515, 3674
26/03,24, 57786, 4365
27/03,25, 65719, 5138
28/03,26, 73235, 5982
29/03,27, 80110, 6803
30/03,28, 87956, 7716
31/03,29, 95923, 8464
01/04,30,104118, 9387
02/04,31,112065,10348
03/04,32,119199,11198
04/04,33,126168,11947
05/04,34,131646,12641
06/04,35,136675,13341
07/04,36,141942,14045
